date time,date,time,seconds since 1970,Water Temperature @2.0m MORFL1 Reef Flat Site 1_LEVEL2_value_AVG
1997-10-23T00:00:00+1000,10/23/97,0:00:00,8.78E+08,25.2598
1997-10-24T00:00:00+1000,10/24/97,0:00:00,8.78E+08,25.3085
1997-10-25T00:00:00+1000,10/25/97,0:00:00,8.78E+08,25.496
1997-10-26T00:00:00+1000,10/26/97,0:00:00,8.78E+08,25.5685
1997-10-27T00:00:00+1000,10/27/97,0:00:00,8.78E+08,25.5879
1997-10-28T00:00:00+1000,10/28/97,0:00:00,8.78E+08,25.6204
1997-10-29T00:00:00+1000,10/29/97,0:00:00,8.78E+08,25.7202
1997-10-30T00:00:00+1000,10/30/97,0:00:00,8.78E+08,25.7446
1997-10-31T00:00:00+1000,10/31/97,0:00:00,8.78E+08,25.7485
1997-11-01T00:00:00+1000,11/1/97,0:00:00,8.78E+08,25.6683
1997-11-02T00:00:00+1000,11/2/97,0:00:00,8.78E+08,25.5756
1997-11-03T00:00:00+1000,11/3/97,0:00:00,8.78E+08,25.5785
1997-11-04T00:00:00+1000,11/4/97,0:00:00,8.79E+08,25.8425
1997-11-05T00:00:00+1000,11/5/97,0:00:00,8.79E+08,25.7863
1997-11-06T00:00:00+1000,11/6/97,0:00:00,8.79E+08,26.1194
1997-11-07T00:00:00+1000,11/7/97,0:00:00,8.79E+08,26.384
1997-11-08T00:00:00+1000,11/8/97,0:00:00,8.79E+08,26.7313
1997-11-09T00:00:00+1000,11/9/97,0:00:00,8.79E+08,26.5575
1997-11-10T00:00:00+1000,11/10/97,0:00:00,8.79E+08,26.4156
1997-11-11T00:00:00+1000,11/11/97,0:00:00,8.79E+08,26.4267
1997-11-12T00:00:00+1000,11/12/97,0:00:00,8.79E+08,26.4706
1997-11-13T00:00:00+1000,11/13/97,0:00:00,8.79E+08,26.4785
1997-11-14T00:00:00+1000,11/14/97,0:00:00,8.79E+08,26.5763
1997-11-15T00:00:00+1000,11/15/97,0:00:00,8.80E+08,26.5648
1997-11-16T00:00:00+1000,11/16/97,0:00:00,8.80E+08,26.6863
1997-11-17T00:00:00+1000,11/17/97,0:00:00,8.80E+08,26.71
1997-11-18T00:00:00+1000,11/18/97,0:00:00,8.80E+08,26.7177
1997-11-19T00:00:00+1000,11/19/97,0:00:00,8.80E+08,26.6248
1997-11-20T00:00:00+1000,11/20/97,0:00:00,8.80E+08,26.6456
1997-11-21T00:00:00+1000,11/21/97,0:00:00,8.80E+08,26.8396
1997-11-22T00:00:00+1000,11/22/97,0:00:00,8.80E+08,26.7363
1997-11-23T00:00:00+1000,11/23/97,0:00:00,8.80E+08,26.7421
1997-11-24T00:00:00+1000,11/24/97,0:00:00,8.80E+08,26.774
1997-11-25T00:00:00+1000,11/25/97,0:00:00,8.80E+08,26.6238
1997-11-26T00:00:00+1000,11/26/97,0:00:00,8.80E+08,26.6958
1997-11-27T00:00:00+1000,11/27/97,0:00:00,8.81E+08,26.8071
1997-11-28T00:00:00+1000,11/28/97,0:00:00,8.81E+08,27.105
1997-11-29T00:00:00+1000,11/29/97,0:00:00,8.81E+08,27.2352
1997-11-30T00:00:00+1000,11/30/97,0:00:00,8.81E+08,27.3892
1997-12-01T00:00:00+1000,12/1/97,0:00:00,8.81E+08,27.5829
1997-12-02T00:00:00+1000,12/2/97,0:00:00,8.81E+08,27.6996
1997-12-03T00:00:00+1000,12/3/97,0:00:00,8.81E+08,27.7815
1997-12-04T00:00:00+1000,12/4/97,0:00:00,8.81E+08,27.8933
1997-12-05T00:00:00+1000,12/5/97,0:00:00,8.81E+08,27.8735
1997-12-06T00:00:00+1000,12/6/97,0:00:00,8.81E+08,27.8121
1997-12-07T00:00:00+1000,12/7/97,0:00:00,8.81E+08,27.7046
1997-12-08T00:00:00+1000,12/8/97,0:00:00,8.82E+08,27.7802
1997-12-09T00:00:00+1000,12/9/97,0:00:00,8.82E+08,27.901
1997-12-10T00:00:00+1000,12/10/97,0:00:00,8.82E+08,28.1171
1997-12-11T00:00:00+1000,12/11/97,0:00:00,8.82E+08,28.0427
1997-12-12T00:00:00+1000,12/12/97,0:00:00,8.82E+08,28.0771
1997-12-13T00:00:00+1000,12/13/97,0:00:00,8.82E+08,28.1267
1997-12-14T00:00:00+1000,12/14/97,0:00:00,8.82E+08,28.1463
1997-12-15T00:00:00+1000,12/15/97,0:00:00,8.82E+08,28.3985
1997-12-16T00:00:00+1000,12/16/97,0:00:00,8.82E+08,28.4885
1997-12-17T00:00:00+1000,12/17/97,0:00:00,8.82E+08,28.7438
1997-12-18T00:00:00+1000,12/18/97,0:00:00,8.82E+08,28.7563
