date time,date,time,seconds since 1970,Water Temperature @9.0m MORSL1 Reef Slope Site 1_LEVEL2_value_AVG
1997-10-23T00:00:00+1000,10/23/97,0:00:00,8.78E+08,25.2387
1997-10-24T00:00:00+1000,10/24/97,0:00:00,8.78E+08,25.1819
1997-10-25T00:00:00+1000,10/25/97,0:00:00,8.78E+08,25.2727
1997-10-26T00:00:00+1000,10/26/97,0:00:00,8.78E+08,25.4177
1997-10-27T00:00:00+1000,10/27/97,0:00:00,8.78E+08,25.544
1997-10-28T00:00:00+1000,10/28/97,0:00:00,8.78E+08,25.5348
1997-10-29T00:00:00+1000,10/29/97,0:00:00,8.78E+08,25.5319
1997-10-30T00:00:00+1000,10/30/97,0:00:00,8.78E+08,25.5404
1997-10-31T00:00:00+1000,10/31/97,0:00:00,8.78E+08,25.5977
1997-11-01T00:00:00+1000,11/1/97,0:00:00,8.78E+08,25.5329
1997-11-02T00:00:00+1000,11/2/97,0:00:00,8.78E+08,25.4498
1997-11-03T00:00:00+1000,11/3/97,0:00:00,8.78E+08,25.4127
1997-11-04T00:00:00+1000,11/4/97,0:00:00,8.79E+08,25.4573
1997-11-05T00:00:00+1000,11/5/97,0:00:00,8.79E+08,25.6817
1997-11-06T00:00:00+1000,11/6/97,0:00:00,8.79E+08,25.7856
1997-11-07T00:00:00+1000,11/7/97,0:00:00,8.79E+08,26.0129
1997-11-08T00:00:00+1000,11/8/97,0:00:00,8.79E+08,26.0321
1997-11-09T00:00:00+1000,11/9/97,0:00:00,8.79E+08,26.2535
1997-11-10T00:00:00+1000,11/10/97,0:00:00,8.79E+08,26.0829
1997-11-11T00:00:00+1000,11/11/97,0:00:00,8.79E+08,26.1429
1997-11-12T00:00:00+1000,11/12/97,0:00:00,8.79E+08,26.1879
1997-11-13T00:00:00+1000,11/13/97,0:00:00,8.79E+08,26.2331
1997-11-14T00:00:00+1000,11/14/97,0:00:00,8.79E+08,26.3779
1997-11-15T00:00:00+1000,11/15/97,0:00:00,8.80E+08,26.4383
1997-11-16T00:00:00+1000,11/16/97,0:00:00,8.80E+08,26.5131
1997-11-17T00:00:00+1000,11/17/97,0:00:00,8.80E+08,26.5183
1997-11-18T00:00:00+1000,11/18/97,0:00:00,8.80E+08,26.3802
1997-11-19T00:00:00+1000,11/19/97,0:00:00,8.80E+08,26.4198
1997-11-20T00:00:00+1000,11/20/97,0:00:00,8.80E+08,26.4069
1997-11-21T00:00:00+1000,11/21/97,0:00:00,8.80E+08,26.4135
1997-11-22T00:00:00+1000,11/22/97,0:00:00,8.80E+08,26.5594
1997-11-23T00:00:00+1000,11/23/97,0:00:00,8.80E+08,26.6375
1997-11-24T00:00:00+1000,11/24/97,0:00:00,8.80E+08,26.6223
1997-11-25T00:00:00+1000,11/25/97,0:00:00,8.80E+08,26.6085
1997-11-26T00:00:00+1000,11/26/97,0:00:00,8.80E+08,26.5704
1997-11-27T00:00:00+1000,11/27/97,0:00:00,8.81E+08,26.6029
1997-11-28T00:00:00+1000,11/28/97,0:00:00,8.81E+08,26.8025
1997-11-29T00:00:00+1000,11/29/97,0:00:00,8.81E+08,26.995
1997-11-30T00:00:00+1000,11/30/97,0:00:00,8.81E+08,27.0952
1997-12-01T00:00:00+1000,12/1/97,0:00:00,8.81E+08,27.124
1997-12-02T00:00:00+1000,12/2/97,0:00:00,8.81E+08,27.3742
