"date","mean_live_coral_cover_percent","lower_conf_int","upper_conf_int","conf_int_span"
1985-07-02,27.294363,25.357747,29.320783,3.963036
1985-07-12,27.252621,25.324541,29.269957,3.945416
1985-07-21,27.210921,25.29129,29.219268,3.927978
1985-07-30,27.169265,25.257996,29.168717,3.910721
1985-08-09,27.127654,25.224659,29.118308,3.893649
1985-08-18,27.086091,25.191281,29.068044,3.876763
1985-08-28,27.044577,25.157862,29.017926,3.860064
1985-09-06,27.003115,25.124404,28.967959,3.843555
1985-09-16,26.961706,25.090908,28.918144,3.827236
1985-09-25,26.920352,25.057375,28.868484,3.811109
1985-10-05,26.879056,25.023806,28.818982,3.795176
1985-10-14,26.837818,24.990203,28.769641,3.779438
1985-10-24,26.796641,24.956565,28.720463,3.763898
1985-11-02,26.755526,24.922896,28.67145,3.748554
1985-11-12,26.714476,24.889195,28.622606,3.733411
1985-11-21,26.673492,24.855464,28.573932,3.718468
1985-12-01,26.632576,24.821705,28.525431,3.703726
1985-12-10,26.59173,24.787919,28.477105,3.689186
1985-12-20,26.550956,24.754106,28.428957,3.674851
1985-12-29,26.510255,24.720268,28.380989,3.660721
1986-01-08,26.469629,24.686407,28.333203,3.646796
1986-01-17,26.429081,24.652524,28.285602,3.633078
1986-01-27,26.388611,24.618621,28.238187,3.619566
1986-02-05,26.348222,24.584698,28.190961,3.606263
1986-02-15,26.307915,24.550757,28.143926,3.593169
1986-02-24,26.267693,24.516799,28.097084,3.580285
1986-03-06,26.227556,24.482827,28.050437,3.56761
1986-03-15,26.187507,24.448842,28.003987,3.555145
1986-03-25,26.147548,24.414844,27.957736,3.542892
1986-04-03,26.107679,24.380836,27.911686,3.53085
1986-04-13,26.067904,24.34682,27.865838,3.519018
1986-04-22,26.028222,24.312796,27.820195,3.507399
1986-05-02,25.988637,24.278766,27.774758,3.495992
1986-05-11,25.94915,24.244733,27.729529,3.484796
1986-05-21,25.909763,24.210698,27.68451,3.473812
1986-05-30,25.870477,24.176662,27.639702,3.46304
1986-06-09,25.831293,24.142627,27.595107,3.45248
1986-06-18,25.792215,24.108595,27.550726,3.442131
1986-06-28,25.753242,24.074568,27.506561,3.431993
1986-07-07,25.714378,24.040548,27.462614,3.422066
1986-07-17,25.675623,24.006536,27.418885,3.412349
1986-07-26,25.636979,23.972535,27.375377,3.402842
1986-08-05,25.598449,23.938546,27.33209,3.393544
1986-08-14,25.560032,23.90457,27.289026,3.384456
1986-08-24,25.521732,23.870611,27.246185,3.375574
1986-09-02,25.483549,23.836671,27.20357,3.366899
1986-09-12,25.445486,23.80275,27.161182,3.358432
1986-09-21,25.407543,23.768851,27.119021,3.35017
1986-10-01,25.369723,23.734977,27.077088,3.342111
1986-10-10,25.332027,23.701129,27.035385,3.334256
1986-10-20,25.294457,23.667309,26.993912,3.326603
1986-10-29,25.257014,23.63352,26.952671,3.319151
1986-11-08,25.219699,23.599763,26.911663,3.3119
1986-11-17,25.182515,23.566042,26.870887,3.304845
1986-11-27,25.145463,23.532358,26.830346,3.297988
1986-12-06,25.108544,23.498713,26.790039,3.291326
1986-12-16,25.07176,23.465109,26.749968,3.284859
1986-12-25,25.035112,23.43155,26.710134,3.278584
1987-01-04,24.998602,23.398037,26.670536,3.272499
1987-01-13,24.962232,23.364572,26.631176,3.266604
1987-01-23,24.926003,23.331158,26.592053,3.260895
1987-02-01,24.889916,23.297798,26.55317,3.255372
1987-02-11,24.853973,23.264493,26.514526,3.250033
1987-02-20,24.818175,23.231246,26.476121,3.244875
1987-03-02,24.782525,23.19806,26.437957,3.239897
1987-03-11,24.747022,23.164937,26.400033,3.235096
1987-03-21,24.71167,23.131879,26.362351,3.230472
1987-03-30,24.676469,23.09889,26.324909,3.226019
1987-04-09,24.641421,23.06597,26.287709,3.221739
1987-04-18,24.606527,23.033124,26.250751,3.217627
1987-04-28,24.571788,23.000353,26.214035,3.213682
1987-05-07,24.537207,22.967661,26.177562,3.209901
1987-05-17,24.502784,22.935049,26.141331,3.206282
1987-05-26,24.468521,22.90252,26.105343,3.202823
1987-06-05,24.434419,22.870077,26.069598,3.199521
1987-06-14,24.40048,22.837722,26.034096,3.196374
1987-06-24,24.366706,22.805458,25.998838,3.19338
1987-07-03,24.333097,22.773288,25.963822,3.190534
1987-07-13,24.299655,22.741215,25.92905,3.187835
1987-07-22,24.266381,22.70924,25.894522,3.185282
1987-08-01,24.233277,22.677367,25.860236,3.182869
1987-08-10,24.200344,22.645598,25.826194,3.180596
1987-08-20,24.167584,22.613936,25.792396,3.17846
1987-08-29,24.134997,22.582383,25.758841,3.176458
1987-09-08,24.102586,22.550942,25.725529,3.174587
1987-09-17,24.070351,22.519617,25.692461,3.172844
1987-09-27,24.038294,22.488409,25.659636,3.171227
1987-10-06,24.006417,22.457321,25.627054,3.169733
1987-10-16,23.97472,22.426356,25.594715,3.168359
1987-10-25,23.943205,22.395517,25.562618,3.167101
1987-11-04,23.911874,22.364806,25.530765,3.165959
1987-11-13,23.880727,22.334226,25.499154,3.164928
1987-11-23,23.849766,22.303779,25.467786,3.164007
1987-12-02,23.818992,22.273469,25.436661,3.163192
1987-12-12,23.788407,22.243298,25.405777,3.162479
1987-12-21,23.758012,22.213268,25.375136,3.161868
1987-12-31,23.727808,22.183383,25.344736,3.161353
1988-01-09,23.697797,22.153645,25.314579,3.160934
1988-01-19,23.667979,22.124056,25.284663,3.160607
1988-01-29,23.638357,22.09462,25.254988,3.160368
1988-02-07,23.608931,22.065338,25.225554,3.160216
1988-02-17,23.579702,22.036214,25.196362,3.160148
1988-02-26,23.550673,22.00725,25.167411,3.160161
1988-03-07,23.521844,21.978449,25.1387,3.160251
