"date","mean_live_coral_cover_percent","lower_conf_int","upper_conf_int","conf_int_span","num_of_species"
1992-03-29,22.151912,20.651342,23.72891,3.077568,49
1992-04-07,22.163117,20.662911,23.739651,3.07674,58
1992-06-22,22.258323,20.759567,23.832738,3.073171,68
1992-08-18,22.335655,20.836141,23.91049,3.074349,61
1992-10-05,22.403506,20.902059,23.980107,3.078048,54
1993-02-06,22.591832,21.079585,24.179328,3.099743,22
1993-05-21,22.761061,21.23321,24.364843,3.131633,79
1994-02-11,23.205537,21.616316,24.87452,3.258204,47
1994-10-16,23.590608,21.933335,25.332469,3.399134,70
1994-10-26,23.604128,21.944376,25.348646,3.40427,78
1995-02-07,23.743914,22.05886,25.515548,3.456688,65
1995-02-17,23.755727,22.068591,25.529591,3.461,46
1995-04-05,23.812287,22.115412,25.59657,3.481158,70
1995-04-15,23.823075,22.124396,25.609286,3.48489,35
1995-11-29,24.020051,22.296245,25.832823,3.536578,68
1995-12-08,24.025334,22.301351,25.83827,3.536919,21
1996-01-25,24.047955,22.324179,25.860519,3.53634,53
1996-02-13,24.05526,22.332055,25.867147,3.535092,49
1996-04-20,24.073204,22.354011,25.880547,3.526536,77
1996-10-18,24.065767,22.369828,25.847472,3.477644,67
1996-10-27,24.063247,22.36889,25.843221,3.474331,69
1996-11-06,24.060525,22.367775,25.838743,3.470968,54
1996-11-15,24.057604,22.366482,25.834041,3.467559,57
1997-03-28,23.996648,22.329781,25.746695,3.416914,55
1997-04-16,23.985035,22.321708,25.73125,3.409542,55
1997-04-26,23.978971,22.317406,25.723278,3.405872,35
1997-07-01,23.931862,22.282379,25.66313,3.380751,33
1997-10-14,23.842424,22.210164,25.555233,3.345069,86
1997-11-30,23.796064,22.170556,25.501702,3.331146,52
1997-12-10,23.786393,22.162137,25.490707,3.32857,73
1998-01-26,23.736137,22.11761,25.434425,3.316815,74
1998-02-05,23.725718,22.108225,25.422925,3.3147,57
1998-02-24,23.704523,22.088984,25.3997,3.310716,73
1998-03-05,23.693752,22.07913,25.387979,3.308849,59
1998-04-22,23.638224,22.027582,25.32838,3.300798,62
