monthyear,Season,year,percent_coral_cover,num_fish,num_seagrass,water_temp,seasonal_water_temp,annual_water_temp
1985-07-01,Dry/Cool,1985,27.2317925,NA,NA,NA,NA,NA
1985-08-01,Dry/Cool,1985,27.086107333333334,NA,NA,NA,NA,NA
1985-09-01,Dry/Cool,1985,26.961724333333333,NA,NA,NA,NA,NA
1985-10-01,Wet/Hot,1985,26.837838333333334,NA,NA,NA,NA,NA
1985-11-01,Wet/Hot,1985,26.714498,NA,NA,NA,NA,NA
1985-12-01,Wet/Hot,1985,26.57137925,NA,NA,NA,NA,NA
1986-01-01,Wet/Hot,1986,26.429107000000002,NA,NA,NA,NA,NA
1986-02-01,Wet/Hot,1986,26.307943333333334,NA,NA,NA,NA,NA
1986-03-01,Wet/Hot,1986,26.187537,NA,NA,NA,NA,NA
1986-04-01,Dry/Cool,1986,26.067935,NA,NA,NA,NA,NA
1986-05-01,Dry/Cool,1986,25.92950675,NA,NA,NA,NA,NA
1986-06-01,Dry/Cool,1986,25.79225,NA,NA,NA,NA,NA
1986-07-01,Dry/Cool,1986,25.67566,NA,NA,NA,NA,NA
1986-08-01,Dry/Cool,1986,25.560071,NA,NA,NA,NA,NA
1986-09-01,Dry/Cool,1986,25.445526,NA,NA,NA,NA,NA
1986-10-01,Wet/Hot,1986,25.31330525,NA,NA,NA,NA,NA
1986-11-01,Wet/Hot,1986,25.182558999999998,NA,NA,NA,NA,NA
1986-12-01,Wet/Hot,1986,25.071805333333334,NA,NA,NA,NA,NA
1987-01-01,Wet/Hot,1987,24.962279000000002,NA,NA,NA,NA,NA
1987-02-01,Wet/Hot,1987,24.854021333333332,NA,NA,NA,NA,NA
1987-03-01,Wet/Hot,1987,24.7294215,NA,0.49264705882352944,NA,NA,NA
1987-04-01,Dry/Cool,1987,24.606578666666667,NA,0.11428571428571428,NA,NA,NA
1987-05-01,Dry/Cool,1987,24.502837333333332,NA,NA,NA,NA,NA
1987-06-01,Dry/Cool,1987,24.400535,NA,0,NA,NA,NA
1987-07-01,Dry/Cool,1987,24.299711,NA,NA,NA,NA,NA
1987-08-01,Dry/Cool,1987,24.1840505,NA,NA,NA,NA,NA
1987-09-01,Dry/Cool,1987,24.07041033333333,NA,NA,NA,NA,NA
1987-10-01,Wet/Hot,1987,23.974780666666668,NA,0.41271820448877805,NA,NA,NA
1987-11-01,Wet/Hot,1987,23.880789,NA,0.5210843373493976,NA,NA,NA
1987-12-01,Wet/Hot,1987,23.77330475,NA,NA,NA,NA,NA
1988-01-01,Wet/Hot,1988,23.668044333333334,NA,NA,NA,NA,NA
1988-02-01,Wet/Hot,1988,23.579768666666666,NA,NA,NA,NA,NA
1988-03-01,Wet/Hot,1988,23.493284333333335,NA,NA,NA,NA,NA
1988-04-01,Dry/Cool,1988,23.408625,NA,NA,NA,NA,NA
1988-05-01,Dry/Cool,1988,23.31227075,NA,NA,NA,NA,NA
1988-06-01,Dry/Cool,1988,23.218378666666666,NA,NA,NA,NA,NA
1988-07-01,Dry/Cool,1988,23.140050666666667,NA,NA,NA,NA,NA
1988-08-01,Dry/Cool,1988,23.063695333333335,NA,NA,NA,NA,NA
1988-09-01,Dry/Cool,1988,22.989345,NA,NA,NA,NA,NA
1988-10-01,Wet/Hot,1988,22.90525075,NA,0.3695652173913043,NA,NA,NA
1988-11-01,Wet/Hot,1988,22.82384933333333,NA,0.21978021978021978,NA,NA,NA
1988-12-01,Wet/Hot,1988,22.756425666666665,NA,NA,NA,NA,NA
1989-01-01,Wet/Hot,1989,22.691151,NA,NA,NA,NA,NA
1989-02-01,Wet/Hot,1989,22.628058666666668,NA,NA,NA,NA,NA
1989-03-01,Wet/Hot,1989,22.567182,NA,NA,NA,NA,NA
1989-04-01,Dry/Cool,1989,22.49907775,NA,NA,NA,NA,NA
1989-05-01,Dry/Cool,1989,22.433938333333334,NA,NA,NA,NA,NA
1989-06-01,Dry/Cool,1989,22.380686666666666,NA,NA,NA,NA,NA
1989-07-01,Dry/Cool,1989,22.32979466666667,NA,NA,NA,NA,NA
1989-08-01,Dry/Cool,1989,22.273526500000003,NA,NA,NA,NA,NA
1989-09-01,Dry/Cool,1989,22.220412666666668,NA,NA,NA,NA,NA
1989-10-01,Wet/Hot,1989,22.177630999999998,NA,NA,NA,NA,NA
1989-11-01,Wet/Hot,1989,22.137357,NA,NA,NA,NA,NA
1989-12-01,Wet/Hot,1989,22.099625666666668,NA,NA,NA,NA,NA
1990-01-01,Wet/Hot,1990,22.0589515,NA,NA,NA,NA,NA
1990-02-01,Wet/Hot,1990,22.021672666666667,NA,NA,NA,NA,NA
1990-03-01,Wet/Hot,1990,21.992674,NA,NA,NA,NA,NA
1990-04-01,Dry/Cool,1990,21.966373333333333,NA,NA,NA,NA,NA
1990-05-01,Dry/Cool,1990,21.942809333333333,NA,NA,NA,NA,NA
1990-06-01,Dry/Cool,1990,21.922019,NA,NA,NA,NA,NA
1990-07-01,Dry/Cool,1990,21.90141375,NA,NA,NA,NA,NA
1990-08-01,Dry/Cool,1990,21.884513666666667,NA,NA,NA,NA,NA
1990-09-01,Dry/Cool,1990,21.873251666666665,NA,NA,NA,NA,NA
1990-10-01,Wet/Hot,1990,21.864907666666667,NA,NA,NA,NA,NA
1990-11-01,Wet/Hot,1990,21.85886975,NA,NA,NA,NA,NA
1990-12-01,Wet/Hot,1990,21.856419333333335,NA,NA,NA,NA,NA
1991-01-01,Wet/Hot,1991,21.857301,NA,NA,NA,NA,NA
1991-02-01,Wet/Hot,1991,21.860783666666666,NA,NA,NA,NA,NA
1991-03-01,Wet/Hot,1991,21.866791,NA,NA,NA,NA,NA
1991-04-01,Dry/Cool,1991,21.875247666666667,NA,NA,NA,NA,NA
1991-05-01,Dry/Cool,1991,21.88818475,NA,NA,NA,NA,NA
1991-06-01,Dry/Cool,1991,21.904087666666666,NA,NA,NA,NA,NA
1991-07-01,Dry/Cool,1991,21.920172666666666,NA,NA,NA,NA,NA
1991-08-01,Dry/Cool,1991,21.938386,NA,NA,NA,NA,NA
1991-09-01,Dry/Cool,1991,21.962291,NA,NA,NA,NA,NA
1991-10-01,Wet/Hot,1991,21.988750333333332,NA,NA,NA,NA,NA
1991-11-01,Wet/Hot,1991,22.013531,NA,NA,NA,NA,NA
1991-12-01,Wet/Hot,1991,22.040124333333335,NA,NA,NA,NA,NA
1992-01-01,Wet/Hot,1992,22.0733975,NA,NA,NA,NA,NA
1992-02-01,Wet/Hot,1992,22.108816333333333,NA,NA,NA,NA,NA
1992-03-01,Wet/Hot,1992,22.140926666666665,54.5,NA,NA,NA,NA
1992-04-01,Dry/Cool,1992,22.174535,43.375,NA,NA,NA,NA
1992-05-01,Dry/Cool,1992,22.209568333333333,NA,NA,NA,NA,NA
1992-06-01,Dry/Cool,1992,22.245953333333333,55.375,NA,NA,NA,NA
1992-07-01,Dry/Cool,1992,22.29005175,7,NA,NA,NA,NA
1992-08-01,Dry/Cool,1992,22.335696,55.22222222222222,NA,NA,NA,NA
1992-09-01,Dry/Cool,1992,22.376056666666667,NA,NA,NA,NA,NA
1992-10-01,Wet/Hot,1992,22.41745,45.375,NA,NA,NA,NA
1992-11-01,Wet/Hot,1992,22.459801666666667,NA,NA,NA,NA,NA
1992-12-01,Wet/Hot,1992,22.51034825,NA,NA,NA,NA,NA
1993-01-01,Wet/Hot,1993,22.561927,NA,NA,NA,NA,NA
1993-02-01,Wet/Hot,1993,22.606931333333332,35,NA,NA,NA,NA
1993-03-01,Wet/Hot,1993,22.652566666666665,NA,NA,NA,NA,NA
1993-04-01,Dry/Cool,1993,22.698757,NA,NA,NA,NA,NA
1993-05-01,Dry/Cool,1993,22.75325775,71.71428571428571,NA,NA,NA,NA
1993-06-01,Dry/Cool,1993,22.808261666666667,69.125,NA,NA,NA,NA
1993-07-01,Dry/Cool,1993,22.855745333333335,NA,NA,NA,NA,NA
1993-08-01,Dry/Cool,1993,22.903448333333333,NA,NA,NA,NA,NA
1993-09-01,Dry/Cool,1993,22.951291,NA,NA,NA,NA,NA
1993-10-01,Wet/Hot,1993,23.0071775,85.2,NA,NA,NA,NA
1993-11-01,Wet/Hot,1993,23.063022333333333,NA,NA,NA,NA,NA
1993-12-01,Wet/Hot,1993,23.110756666666667,61.333333333333336,0.8019169329073482,NA,NA,NA
1994-01-01,Wet/Hot,1994,23.158284000000002,NA,NA,NA,NA,NA
1994-02-01,Wet/Hot,1994,23.205523666666668,62.875,NA,NA,NA,NA
1994-03-01,Wet/Hot,1994,23.26014775,33.5,NA,NA,NA,NA
1994-04-01,Dry/Cool,1994,23.314168,59.857142857142854,NA,NA,NA,NA
1994-05-01,Dry/Cool,1994,23.359854,60.666666666666664,NA,NA,NA,NA
1994-06-01,Dry/Cool,1994,23.404894666666667,NA,NA,NA,NA,NA
1994-07-01,Dry/Cool,1994,23.449206,NA,0.6722689075630253,NA,NA,NA
1994-08-01,Dry/Cool,1994,23.49984025,NA,NA,NA,NA,NA
1994-09-01,Dry/Cool,1994,23.549293333333335,NA,NA,NA,NA,NA
1994-10-01,Wet/Hot,1994,23.590567333333333,70.0909090909091,NA,NA,NA,NA
1994-11-01,Wet/Hot,1994,23.630746333333335,48.285714285714285,0.7222222222222222,NA,NA,NA
1994-12-01,Wet/Hot,1994,23.676083,NA,0.7218045112781954,NA,NA,NA
