"date","num_of_species"
1992-03-28,60
1992-03-29,49
1992-04-02,57
1992-04-04,8
1992-04-05,33
1992-04-06,16
1992-04-07,58
1992-04-08,51
1992-04-10,59
1992-04-11,65
1992-06-17,63
1992-06-19,88
1992-06-21,31
1992-06-22,68
1992-06-24,61
1992-06-27,49
1992-06-28,46
1992-06-29,37
1992-07-01,7
1992-08-11,28
1992-08-12,30
1992-08-13,82
1992-08-14,43
1992-08-15,67
1992-08-16,59
1992-08-17,63
1992-08-18,61
1992-08-19,64
1992-10-01,39
1992-10-02,60
1992-10-03,35
1992-10-04,57
1992-10-05,54
1992-10-06,53
1992-10-07,63
1992-10-08,53
1992-10-11,61
1992-10-12,55
1992-10-19,41
1992-10-20,28
1992-10-22,14
1992-10-25,9
1992-10-28,67
1992-10-29,37
1993-02-05,40
1993-02-06,22
1993-02-07,37
1993-02-12,58
1993-02-16,18
1993-05-06,55
1993-05-07,73
1993-05-08,70
1993-05-09,53
1993-05-10,89
1993-05-21,79
1993-05-23,83
1993-06-12,56
1993-06-13,60
1993-06-14,46
1993-06-17,88
1993-06-21,86
1993-06-22,71
1993-06-23,59
1993-06-24,87
1993-10-12,80
1993-10-14,89
1993-10-22,76
1993-10-23,91
1993-10-24,90
1993-12-08,63
1993-12-10,66
1993-12-12,62
1993-12-13,74
1993-12-15,35
1993-12-21,68
1994-02-05,71
1994-02-06,74
1994-02-07,75
1994-02-08,63
1994-02-09,56
1994-02-10,40
1994-02-11,47
1994-02-14,77
1994-03-29,17
1994-03-30,50
1994-04-02,67
1994-04-03,71
1994-04-05,69
1994-04-07,75
1994-04-11,72
1994-04-12,39
1994-04-14,26
1994-05-20,63
1994-05-22,70
1994-05-23,70
1994-05-24,63
1994-05-25,66
1994-05-26,32
1994-10-16,70
1994-10-17,75
1994-10-18,90
1994-10-19,65
1994-10-20,65
1994-10-21,76
1994-10-23,75
1994-10-24,63
1994-10-25,59
1994-10-26,78
1994-10-27,55
1994-11-11,58
1994-11-12,43
1994-11-13,64
1994-11-15,56
1994-11-16,38
1994-11-17,66
1994-11-18,55
1994-11-19,47
1994-11-20,59
1994-11-21,42
1994-11-25,31
1994-11-26,51
1994-11-27,44
1994-11-28,22
1995-02-03,39
1995-02-04,57
1995-02-06,47
1995-02-07,65
1995-02-08,35
1995-02-09,75
1995-02-13,34
1995-02-14,49
1995-02-15,39
1995-02-17,46
1995-02-21,38
1995-02-22,33
1995-04-04,5
1995-04-05,70
1995-04-06,79
1995-04-07,75
1995-04-08,95
1995-04-09,79
1995-04-10,47
1995-04-11,50
1995-04-12,86
1995-04-13,97
1995-04-14,66
1995-04-15,35
1995-04-16,89
1995-04-17,100
1995-04-18,69
1995-05-28,50
1995-09-15,88
1995-09-16,88
1995-09-29,73
1995-09-30,59
1995-10-05,59
1995-10-06,61
1995-10-08,76
1995-10-09,55
1995-10-10,70
1995-10-11,70
1995-10-13,72
1995-11-20,43
1995-11-21,66
1995-11-22,43
1995-11-23,66
1995-11-24,61
1995-11-26,48
1995-11-27,40
1995-11-28,64
1995-11-29,68
1995-11-30,52
1995-12-04,39
1995-12-05,16
1995-12-07,19
1995-12-08,21
1995-12-09,42
1995-12-10,56
1996-01-07,54
1996-01-08,43
1996-01-09,62
1996-01-11,66
1996-01-12,78
1996-01-13,51
1996-01-14,44
1996-01-21,74
1996-01-22,70
1996-01-23,46
1996-01-24,79
1996-01-25,53
1996-01-26,45
1996-02-07,66
1996-02-08,42
1996-02-09,36
1996-02-10,52
1996-02-11,78
1996-02-12,71
1996-02-13,49
1996-02-14,75
