"date","avg_water_temp_2.0m_flat_site","avg_water_temp_9.0m_slope_site","num_of_species"
1997-11-25,26.6238,26.6085,49
1997-11-26,26.6958,26.5704,38
1997-11-27,26.8071,26.6029,59
1997-11-28,27.105,26.8025,33
1997-11-29,27.2352,26.995,59
1997-11-30,27.3892,27.0952,52
1997-12-01,27.5829,27.124,58
1997-12-02,27.6996,27.3742,59
1997-12-03,27.7815,27.4356,57
1997-12-04,27.8933,27.6154,57
1997-12-07,27.7046,27.4498,39
1997-12-08,27.7802,27.595,52
1997-12-09,27.901,27.7444,55
1997-12-10,28.1171,27.7513,73
1998-01-22,29.0108,28.2006,72
1998-01-23,29.5185,28.1746,64
1998-01-24,29.3352,28.1798,67
1998-01-25,29.4015,28.2646,62
1998-01-26,29.6385,28.2415,74
1998-01-28,29.2152,28.7506,64
1998-01-29,29.4456,28.6442,57
1998-01-30,29.5404,28.5621,45
1998-02-01,29.299,28.8938,53
1998-02-02,29.2763,28.8788,57
1998-02-03,29.3513,28.8552,67
1998-02-04,29.4458,28.9502,73
1998-02-05,29.2633,28.9635,57
1998-02-09,29.1863,29.0135,33
1998-02-21,29.5694,29.4498,47
1998-02-22,29.5654,29.4779,55
1998-02-23,29.63,29.5054,41
1998-02-24,29.4408,29.3985,73
1998-02-25,29.1948,29.1602,75
1998-02-26,29.1323,29.0373,44
1998-02-28,29.0058,28.95,18
1998-03-01,28.801,28.7896,15
1998-03-03,28.5119,28.436,40
1998-03-04,28.3352,28.2888,58
1998-03-05,28.1502,28.1123,59
1998-03-06,28.2567,28.084,55
1998-03-10,28.6483,28.4956,28
1998-04-20,28.1642,28.0823,47
1998-04-21,28.1433,28.0325,65
1998-04-22,28.2673,28.0473,62
1998-04-23,28.2556,28.139,62
1998-04-24,28.2788,28.1135,35
1998-05-01,28.0104,27.8298,71
1998-05-02,27.9985,27.8321,55
1998-05-03,27.899,27.7958,50
1998-05-04,27.7856,27.7527,65
1998-05-05,27.7981,27.6081,48
1998-05-06,27.8369,27.6992,58
1998-05-07,27.76,27.6627,7
1998-10-09,26.8804,26.5856,86
1998-10-10,26.8054,26.7425,59
1998-10-11,27.2535,26.7329,77
1998-10-12,27.4481,26.8567,57
1998-10-15,27.8135,27.1556,83
1998-10-16,27.5829,27.0873,75
1998-10-17,27.2604,27.0727,72
1998-10-18,27.1185,26.9577,51
1998-10-19,27.1692,26.9331,82
1998-10-20,27.4871,27.039,67
1998-11-26,28.3502,28.2304,65
1998-11-27,28.4719,28.3527,42
1998-11-28,28.4669,28.3377,64
1998-11-29,28.4342,28.2829,49
1998-11-30,28.3854,28.2544,60
1998-12-02,28.1125,28.0958,53
1998-12-03,27.865,27.8215,60
1998-12-06,28.2263,28.0552,46
1998-12-07,28.1958,28.119,62
1998-12-08,28.2204,28.0235,53
1998-12-09,28.3021,28.1248,66
1998-12-10,28.2579,28.145,48
1998-12-11,28.0633,28.044,57
1998-12-12,27.9498,27.9015,61
1999-10-09,25.0833,25.0644,60
1999-10-10,25.1144,25.0129,73
1999-10-15,25.8852,25.669,51
1999-10-16,25.9894,25.6363,69
1999-10-17,26.0073,25.9265,71
1999-10-19,25.9325,25.7542,71
1999-10-20,25.9352,25.8546,75
1999-10-21,26.0383,25.9638,86
1999-10-22,26.0438,25.9765,79
1999-10-23,26.1906,26.0279,74
1999-10-24,26.266,26.1719,80
1999-11-20,27.0788,27.195,61
1999-11-21,27.0102,27.0683,54
1999-11-22,26.9552,27.0202,56
1999-11-23,26.959,27.015,67
1999-11-24,27.0269,27.029,59
1999-11-25,26.9708,27.0238,68
1999-11-26,26.9219,26.9627,58
1999-11-27,26.7721,26.8236,69
1999-11-28,26.5313,26.564,55
1999-12-02,26.582,26.6273,63
1999-12-03,26.6313,26.6548,59
1999-12-04,26.6252,26.6669,60
1999-12-05,26.6204,26.6469,54
1999-12-06,26.6379,26.6694,56
1999-12-07,26.6579,26.6858,29
2000-01-21,28.5406,28.5094,74
2000-01-22,28.6819,28.6985,62
2000-01-23,28.7946,28.7604,75
2000-01-24,29.0648,28.9546,70
2000-01-26,29.1723,29.0156,46
2000-01-27,29.281,29.0856,63
2000-01-28,29.476,29.2719,54
2000-01-30,29.2615,29.2146,72
2000-02-01,28.9135,28.9302,81
2000-02-02,28.7592,28.8023,57
2000-02-04,28.4827,28.5198,84
2000-03-11,28.3258,28.3025,71
2000-03-12,28.3119,28.2215,74
2000-03-13,28.31,28.1946,58
2000-03-14,28.1883,28.1827,48
2000-03-18,27.8767,27.9477,45
2000-03-19,27.845,27.8704,34
2001-09-15,25.5478,25.3178,64
2001-09-16,25.3093,25.1704,65
2001-09-17,25.1044,25.1138,78
2001-09-18,24.9621,24.992,63
2001-09-19,24.9618,25.0004,44
2001-09-20,24.9328,24.9781,56
2001-09-22,24.8793,24.8476,51
2001-09-24,24.8003,24.7821,71
2001-09-26,24.923,24.8671,73
2001-09-27,25.0781,25.0103,66
2001-09-28,25.1084,25.0417,67
2001-11-04,27.4686,27.1891,86
2001-11-05,27.3618,27.1527,61
2001-11-06,27.2234,27.1913,51
2001-11-07,27.078,27.0788,27
2001-11-08,27.0663,27.0658,51
2001-11-09,27.2658,27.1867,65
2001-11-10,27.5049,27.4237,52
2001-11-13,27.7288,27.5961,44
2001-11-14,27.705,27.5532,45
2001-11-15,27.5331,27.5746,49
2002-02-05,30.1919,29.9138,73
2002-02-07,30.6086,30.1512,59
2002-02-09,30.5734,30.3085,63
2002-02-10,30.5951,30.3606,53
2002-02-11,30.3374,30.4119,61
2002-02-13,29.7673,29.8256,30
2002-02-17,29.0499,29.0847,51
2002-02-18,29.1423,29.1625,76
2002-02-19,29.3741,29.0702,71
2002-02-20,29.3682,29.1571,38
2002-07-23,23.145,23.1644,47
2002-07-24,23.1829,23.1621,90
2002-07-25,23.2196,23.1686,71
2002-07-26,23.7994,23.7281,72
2002-07-27,23.6716,23.7165,108
2002-07-28,23.6912,23.6212,82
2002-07-29,23.9808,24.0244,57
2002-07-30,23.9531,23.9712,79
2002-07-31,24.1727,24.1539,68
2002-08-01,24.1305,24.1397,79
2002-09-05,24.5141,24.2465,48
2002-09-06,24.615,24.3886,66
2002-09-07,24.491,24.4249,64
2002-09-08,24.744,24.4789,59
2002-09-09,24.7319,24.6002,63
2002-09-10,24.8183,24.7557,58
2002-09-11,24.7901,24.8086,53
2002-09-16,24.4594,24.377,73
2002-09-17,24.525,24.364,65
2002-09-18,24.5243,24.5234,75
2002-09-19,24.744,24.5669,70
2002-10-24,25.6029,25.6073,73
2002-10-25,25.7162,25.4855,67
2002-10-26,26.0725,25.7777,72
2002-10-27,26.2293,26.1989,76
2002-11-01,26.0353,25.9519,74
2002-11-02,26.0631,25.9898,77
2002-11-03,26.0966,26.0718,75
2002-11-05,25.9793,26.0035,66
2002-11-06,25.9794,25.9849,33
2002-11-07,25.9488,26.0036,45
2002-11-08,25.9202,25.9481,46
2002-11-24,26.5587,26.5068,45
2002-11-25,26.5173,26.5074,47
2002-11-26,26.5103,26.5454,43
2002-11-27,26.6323,26.6587,60
2002-11-28,26.6972,26.7123,67
2002-11-30,26.9403,26.9777,54
2002-12-01,27.0702,27.0871,44
2002-12-03,27.2864,27.2924,89
2002-12-04,27.4209,27.3846,66
2002-12-05,27.3735,27.4567,54
2003-03-07,28.6222,28.6375,32
2003-03-08,28.5796,28.559,82
2003-03-10,28.5734,28.5069,71
2003-03-12,28.2669,28.327,83
2003-03-15,27.9451,27.9502,69
2003-03-18,27.8641,27.9219,76
2003-03-19,27.858,27.879,68
2003-03-21,27.9995,27.9291,41
2003-03-22,28.0374,27.9517,6
2003-05-20,26.5393,26.4271,4
2003-08-23,24.6236,24.5374,80
2003-08-24,24.7974,24.5933,71
2003-08-25,24.8644,24.6681,76
2003-08-26,24.8229,24.6696,103
2003-08-27,24.7652,24.6505,85
2003-08-28,24.5654,24.5291,87
2003-08-29,24.3699,24.3593,58
2003-08-30,24.4358,24.3065,70
2003-08-31,24.4326,24.3592,92
2003-09-01,24.5065,24.4299,68
2003-09-02,24.6381,24.5471,61
2003-10-20,26.1982,26.007,65
2003-10-21,26.1213,26.0672,71
2003-10-22,26.2407,26.0916,60
2003-10-23,26.2943,26.1372,67
2003-10-24,26.3055,26.1583,56
2003-10-25,26.4147,26.3032,57
2003-10-26,26.4043,26.3455,52
2003-10-27,26.2535,26.2567,67
2003-10-30,26.0827,26.0488,68
2003-10-31,26.3973,26.2109,60
2003-11-01,26.6833,26.508,69
