"month","year","H_OVALIS","SEDIMENT","TIDAL","DEPTH","monthly_avg_temp_2.0m","monthly_avg_temp_9.0m","monthly_mean_coral_cover_percentage","monthly_fish_species"
1,1999,"Yes","Sand","subtidal",10.90880013,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",3.916409969,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Mud","subtidal",4.596690178,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Mud","intertidal",0,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Mud","subtidal",8.041069984,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",3.80795002,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","intertidal",0,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Sand","subtidal",1.770059943,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","intertidal",0,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Reef","subtidal",10.1953001,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Sand","subtidal",1.768829942,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Mud","subtidal",5.522389889,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Reef","subtidal",3.099499941,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Mud","subtidal",6.878469944,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",4.721439838,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Mud","subtidal",6.416049957,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",8.926309586,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Mud","subtidal",8.638620377,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","intertidal",0,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",4.852809906,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Mud","subtidal",3.891659975,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",5.875329971,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Mud","subtidal",11.42879963,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Mud","subtidal",5.19066,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",2.954969883,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Mud","subtidal",5.161580086,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",15.85340023,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Sand","subtidal",6.816289902,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Mud","subtidal",5.639430046,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",1.66463995,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Mud","subtidal",2.711369991,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Mud","intertidal",0,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Sand","subtidal",5.523290157,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",2.282840014,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",10.35560036,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Mud","subtidal",1.050989985,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Mud","subtidal",2.602099895,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Reef","subtidal",8.960260391,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",12.89939976,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",10.37370014,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Shell","subtidal",4.047500134,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",9.058620453,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",9.901820183,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Sand","subtidal",4.32667017,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Sand","subtidal",10.1218996,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Sand","subtidal",5.248919964,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Mud","subtidal",7.570290089,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Shell","subtidal",2.998349905,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Mud","subtidal",2.292190075,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Mud","subtidal",4.864510059,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"Yes","Sand","subtidal",2.81062007,29.1910375,29.047675,23.2845556666667,54.5
1,1999,"No","Mud","intertidal",0,29.1910375,29.047675,23.2845556666667,54.5
