"date","avg_water_temp_2.0m_flat_site","avg_water_temp_9.0m_slope_site","mean_live_coral_cover_percent","lower_conf_int","upper_conf_int","conf_int_span"
1997-10-23,25.2598,25.2387,23.833424,22.202576,25.544729,3.342153
1997-11-02,25.5756,25.4498,23.824286,22.194821,25.534121,3.3393
1997-11-11,26.4267,26.1429,23.815012,22.186898,25.523412,3.336514
1997-11-21,26.8396,26.4135,23.805605,22.17881,25.512605,3.333795
1997-11-30,27.3892,27.0952,23.796064,22.170556,25.501702,3.331146
1997-12-10,28.1171,27.7513,23.786393,22.162137,25.490707,3.32857
1997-12-19,28.9063,28.535,23.776594,22.153555,25.479621,3.326066
1997-12-29,28.0165,27.734,23.766666,22.14481,25.468448,3.323638
1998-01-07,27.4083,27.2958,23.756613,22.135904,25.457189,3.321285
1998-01-17,27.9471,27.9231,23.746436,22.126837,25.445847,3.31901
1998-01-26,29.6385,28.2415,23.736137,22.11761,25.434425,3.316815
1998-02-05,29.2633,28.9635,23.725718,22.108225,25.422925,3.3147
1998-02-14,29.8479,29.4454,23.715179,22.098683,25.411349,3.312666
1998-02-24,29.4408,29.3985,23.704523,22.088984,25.3997,3.310716
1998-03-05,28.1502,28.1123,23.693752,22.07913,25.387979,3.308849
1998-03-15,28.4746,28.2896,23.682867,22.069122,25.376189,3.307067
1998-03-24,28.0183,27.9233,23.67187,22.058963,25.364332,3.305369
1998-04-03,28.5371,28.4142,23.660763,22.048651,25.35241,3.303759
1998-04-12,27.9719,27.756,23.649547,22.038191,25.340425,3.302234
1998-04-22,28.2673,28.0473,23.638224,22.027582,25.32838,3.300798
1998-05-01,28.0104,27.8298,23.626796,22.016826,25.316275,3.299449
1998-05-11,27.38,27.2421,23.615264,22.005925,25.304113,3.298188
1998-05-20,26.9579,26.914,23.60363,21.99488,25.291896,3.297016
1998-05-30,25.8471,25.7473,23.591896,21.983692,25.279626,3.295934
1998-06-08,25.6892,25.5608,23.580063,21.972365,25.267303,3.294938
1998-06-18,25.3183,25.2717,23.568134,21.960898,25.254931,3.294033
1998-06-27,24.3935,24.2773,23.556109,21.949294,25.24251,3.293216
1998-07-07,24.4515,24.3602,23.543991,21.937555,25.230043,3.292488
1998-07-16,24.2873,24.1771,23.531781,21.925683,25.21753,3.291847
1998-07-26,24.6754,24.4723,23.519481,21.913678,25.204974,3.291296
1998-08-04,24.4372,24.1704,23.507093,21.901544,25.192375,3.290831
1998-08-14,24.7904,24.6935,23.494618,21.889281,25.179735,3.290454
1998-08-23,25.006,24.916,23.482057,21.876893,25.167056,3.290163
1998-09-02,25.4113,25.1963,23.469414,21.864381,25.154339,3.289958
1998-09-11,25.6221,25.4477,23.456688,21.851746,25.141585,3.289839
1998-09-21,25.8944,25.8048,23.443883,21.838992,25.128795,3.289803
1998-09-30,25.8804,25.804,23.430999,21.82612,25.115971,3.289851
1998-10-10,26.8054,26.7425,23.418038,21.813132,25.103113,3.289981
1998-10-19,27.1692,26.9331,23.405002,21.800031,25.090223,3.290192
1998-10-29,28.1792,27.7765,23.391893,21.786818,25.077302,3.290484
1998-11-07,27.2546,27.1608,23.378712,21.773497,25.064351,3.290854
1998-11-17,28.6069,28.1535,23.365461,21.760069,25.051371,3.291302
1998-11-26,28.3502,28.2304,23.352141,21.746536,25.038362,3.291826
1998-12-06,28.2263,28.0552,23.338755,21.732901,25.025326,3.292425
1998-12-15,28.1935,27.9671,23.325304,21.719167,25.012264,3.293097
1998-12-25,28.6515,28.4821,23.311789,21.705336,24.999175,3.293839
1999-01-03,29.1892,29.0848,23.298212,21.691409,24.986062,3.294653
1999-08-29,23.9871,23.8354,22.943482,21.320133,24.651708,3.331575
1999-09-07,24.6488,24.3735,22.928869,21.30468,24.638114,3.333434
1999-09-17,24.9608,24.82,22.914239,21.289207,24.624505,3.335298
1999-09-26,24.4846,24.506,22.899591,21.273717,24.610881,3.337164
1999-10-06,25.3125,25.1502,22.884929,21.258212,24.597241,3.339029
1999-10-15,25.8852,25.669,22.870253,21.242695,24.583587,3.340892
1999-10-25,26.379,26.2433,22.855566,21.227169,24.569918,3.342749
1999-11-03,27.0563,26.999,22.840868,21.211638,24.556234,3.344596
1999-11-13,26.7796,26.7492,22.826161,21.196103,24.542536,3.346433
1999-11-22,26.9552,27.0202,22.811448,21.180569,24.528822,3.348253
1999-12-02,26.582,26.6273,22.796728,21.165037,24.515095,3.350058
1999-12-11,27.0956,26.985,22.782005,21.149512,24.501352,3.35184
1999-12-21,27.3685,27.4481,22.767279,21.133995,24.487595,3.3536
